iter	Passed	Remaining
403	9214	2189
404	9236	2166
405	9254	2142
406	9272	2118
407	9294	2095
408	9313	2072
409	9336	2049
410	9363	2027
411	9386	2004
412	9408	1981
413	9428	1958
414	9449	1935
415	9467	1911
416	9489	1888
417	9509	1865
418	9537	1843
419	9561	1821
420	9581	1797
421	9602	1774
422	9625	1752
423	9642	1728
424	9661	1704
425	9685	1682
426	9710	1660
427	9730	1636
428	9746	1613
429	9769	1590
430	9792	1567
431	9813	1544
432	9835	1521
433	9852	1498
434	9869	1474
435	9893	1452
436	9915	1429
437	9940	1407
438	9965	1384
439	9987	1361
440	10004	1338
441	10026	1315
442	10047	1292
443	10072	1270
444	10097	1247
445	10123	1225
446	10147	1203
447	10168	1180
448	10190	1157
449	10216	1135
450	10241	1112
451	10269	1090
452	10296	1068
453	10315	1045
454	10335	1022
455	10354	999
456	10371	975
457	10392	953
458	10414	930
459	10435	907
460	10459	884
461	10484	862
462	10508	839
463	10537	817
464	10560	794
465	10580	771
466	10602	749
467	10624	726
468	10649	703
469	10668	680
470	10688	658
471	10709	635
472	10730	612
473	10750	589
474	10767	566
475	10787	543
476	10815	521
477	10837	498
478	10863	476
479	10888	453
480	10914	431
481	10932	408
482	10959	385
483	10980	362
484	10998	340
485	11021	317
486	11045	294
487	11069	272
488	11090	249
489	11109	226
490	11130	204
491	11156	181
492	11175	158
493	11196	135
494	11221	113
495	11244	90
496	11264	67
497	11287	45
498	11306	22
499	11330	0
